domain,credibility_rating,tranco_ranking,political_leaning
univision.com,0.717076812957865,4611,left
transparency.org,0.910055955606308,4618,left
mymodernmet.com,0.601952330135495,4633,left
annals.org,0.7158408158656671,4635,left
mnn.com,0.7876231724750121,4640,left
grist.org,0.805259028322397,4650,left
etonline.com,0.421196500633623,4652,left
uschamber.com,0.6839642693007291,4686,right
liverpoolecho.co.uk,0.6959255947841221,4701,left
opendemocracy.net,0.81633964127538,4711,left
mediaite.com,0.645826226514907,4716,left
wnyc.org,0.8045597685231779,4732,left
project-syndicate.org,0.7876231724750121,4734,left
paho.org,0.917068229614952,4737,left
koreaherald.com,0.7774733790399151,4740,left
uproxx.com,0.587813877968796,4747,left
wtop.com,0.8957042239416179,4765,left
patheos.com,0.786958288006023,4766,left
macleans.ca,0.796667623537208,4784,left
nationalinterest.org,0.7865046288668199,4785,right
cochrane.org,0.8842034121233779,4793,left
law360.com,0.905833875771101,4796,left
northjersey.com,0.841321722825666,4809,left
medicaldaily.com,0.775272172685341,4817,left
deadspin.com,0.561397357923915,4820,left
buffalonews.com,0.8383660089265749,4825,left
republicworld.com,0.6298018079301829,4830,left
lequipe.fr,0.5604398731432679,4868,left
abc7news.com,0.645959515804345,4871,left
medpagetoday.com,0.944057016812522,4874,left
gothamist.com,0.861881719955617,4876,left
hln.be,0.8282271656150619,4886,left
bdnews24.com,0.324322518212627,4888,left
